瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭 惑措嚼档(%),钦拌 老荤樊(MJ/m2)
156,堡林,2023-01-01,1.3,64.6,9.97
156,堡林,2023-01-02,-.2,47.4,12.42
156,堡林,2023-01-03,.2,57,12.47
156,堡林,2023-01-04,.4,62.4,9.63
156,堡林,2023-01-05,3,75.3,8.95
156,堡林,2023-01-06,3.7,81.4,9.93
156,堡林,2023-01-07,4.6,54.8,6.52
156,堡林,2023-01-08,3.2,66.4,11.42
156,堡林,2023-01-09,3.9,68.3,7.84
156,堡林,2023-01-10,3.8,59.6,12.73
156,堡林,2023-01-11,5.5,64.6,12.07
156,堡林,2023-01-12,9.5,70.8,10.83
156,堡林,2023-01-13,14.3,95.9,2.63
156,堡林,2023-01-14,8,94,3.23
156,堡林,2023-01-15,1.9,74.4,3.03
156,堡林,2023-01-16,-1,54,13.49
156,堡林,2023-01-17,-.4,52.1,12.81
156,堡林,2023-01-18,.9,68,9.54
156,堡林,2023-01-19,2.6,63.9,11.26
156,堡林,2023-01-20,.7,52.9,11.17
156,堡林,2023-01-21,-.9,43.3,14.2
156,堡林,2023-01-22,2.6,38.8,5.26
156,堡林,2023-01-23,3.1,57.6,12.26
156,堡林,2023-01-24,-7.7,63.5,8.33
156,堡林,2023-01-25,-7.9,42.9,15.65
156,堡林,2023-01-26,-2.7,66.8,3.67
156,堡林,2023-01-27,-2.8,56.1,13.02
156,堡林,2023-01-28,-2.8,59,12.56
156,堡林,2023-01-29,1.3,70,12.8
156,堡林,2023-01-30,1.8,38.6,15.66
156,堡林,2023-01-31,3.7,56.5,14.97
156,堡林,2023-02-01,3.9,58.1,13.56
156,堡林,2023-02-02,.7,39.8,13.01
156,堡林,2023-02-03,.9,38.1,14.67
156,堡林,2023-02-04,1.6,54.3,14.5
156,堡林,2023-02-05,2.8,45.9,16.61
156,堡林,2023-02-06,5.2,34.9,12.84
156,堡林,2023-02-07,6.1,41,14.67
156,堡林,2023-02-08,4.5,53.3,15.53
156,堡林,2023-02-09,5.9,52.3,9.76
156,堡林,2023-02-10,4.8,82,11.93
156,堡林,2023-02-11,4.3,79.3,7.96
156,堡林,2023-02-12,5.2,73.4,6.56
156,堡林,2023-02-13,7.3,70.6,11.06
156,堡林,2023-02-14,3.3,62.4,16.55
156,堡林,2023-02-15,3,62.3,6.32
156,堡林,2023-02-16,4.4,66.8,9.04
156,堡林,2023-02-17,5.2,58.9,6.62
156,堡林,2023-02-18,8.3,83.8,2.58
156,堡林,2023-02-19,4.5,69.8,10.55
156,堡林,2023-02-20,1.5,52.4,18.06
156,堡林,2023-02-21,.4,36.1,18.52
156,堡林,2023-02-22,3.8,54.5,16.85
156,堡林,2023-02-23,5.4,58.6,17.93
156,堡林,2023-02-24,6,44.3,17.62
156,堡林,2023-02-25,1.9,40.4,19.56
156,堡林,2023-02-26,3,38.3,20.12
156,堡林,2023-02-27,5.7,41.5,20.45
156,堡林,2023-02-28,8.1,59.3,19.94
156,堡林,2023-03-01,8.3,54,12.41
156,堡林,2023-03-02,3.5,32.6,21.04
156,堡林,2023-03-03,5.1,35.6,20.23
156,堡林,2023-03-04,8.5,36.5,18.53
156,堡林,2023-03-05,9.3,46,18.31
156,堡林,2023-03-06,9.9,52.5,20.23
156,堡林,2023-03-07,13.1,48.9,17.33
156,堡林,2023-03-08,14.5,52.3,18.22
156,堡林,2023-03-09,15.6,67.3,15.87
156,堡林,2023-03-10,15.3,51.5,18.59
156,堡林,2023-03-11,16.5,37,17.03
156,堡林,2023-03-12,8.8,69.6,3.79
156,堡林,2023-03-13,5.3,27.5,22.66
156,堡林,2023-03-14,9.9,44.5,22.78
156,堡林,2023-03-15,14,61.8,19.83
156,堡林,2023-03-16,8.7,22.3,20.8
156,堡林,2023-03-17,9.4,26,7.88
156,堡林,2023-03-18,10.3,27.9,20.89
156,堡林,2023-03-19,9.7,45.1,22.49
156,堡林,2023-03-20,11.3,47.9,21.56
156,堡林,2023-03-21,16.3,38.4,21.22
156,堡林,2023-03-22,16.2,75.4,11.3
156,堡林,2023-03-23,14.7,91.1,7.38
156,堡林,2023-03-24,10.4,68.3,7.35
156,堡林,2023-03-25,10.7,77,7.5
156,堡林,2023-03-26,9.9,43.9,22.32
156,堡林,2023-03-27,8.1,29,25.17
156,堡林,2023-03-28,10.1,40.9,18.82
156,堡林,2023-03-29,12.9,46.3,24.01
156,堡林,2023-03-30,14.7,40.3,18.35
156,堡林,2023-03-31,16.3,28.8,24.83
156,堡林,2023-04-01,16.9,28.1,23.41
156,堡林,2023-04-02,17.5,25.5,25.34
156,堡林,2023-04-03,17.9,25.9,24.87
156,堡林,2023-04-04,15.9,62.3,10.84
156,堡林,2023-04-05,13.6,94.5,2.76
156,堡林,2023-04-06,9.6,94.5,3.86
156,堡林,2023-04-07,8.8,77.3,16.07
156,堡林,2023-04-08,9.2,47.6,25.15
156,堡林,2023-04-09,11,47.5,26.89
156,堡林,2023-04-10,13.5,49.6,25.39
156,堡林,2023-04-11,16,77.4,6.72
156,堡林,2023-04-12,13.2,19.4,27.04
156,堡林,2023-04-13,15.1,24.9,24.93
156,堡林,2023-04-14,14,76,7.25
156,堡林,2023-04-15,14.3,85.4,18.24
156,堡林,2023-04-16,12,78.1,19.36
156,堡林,2023-04-17,14.7,57.9,25.84
156,堡林,2023-04-18,18.2,90.1,4.37
156,堡林,2023-04-19,19.9,92,11.22
156,堡林,2023-04-20,20.6,79.1,24.85
156,堡林,2023-04-21,18.1,76,22.35
156,堡林,2023-04-22,17.5,42.9,24.65
156,堡林,2023-04-23,16,41.8,13.55
156,堡林,2023-04-24,15.3,50.2,11.73
156,堡林,2023-04-25,10.9,84.9,4.39
156,堡林,2023-04-26,10.2,74.5,24.47
156,堡林,2023-04-27,14,67,28.6
156,堡林,2023-04-28,16.8,74.9,18.92
156,堡林,2023-04-29,15,95,3.48
156,堡林,2023-04-30,14.3,65.5,28.67
156,堡林,2023-05-01,16.4,47.8,28.95
156,堡林,2023-05-02,18.2,40.4,26.72
156,堡林,2023-05-03,17.9,64.5,12.03
156,堡林,2023-05-04,18.1,89.9,4.79
156,堡林,2023-05-05,19.9,99,3.73
156,堡林,2023-05-06,17.2,99,5.04
156,堡林,2023-05-07,12.2,97,7.22
156,堡林,2023-05-08,15.4,57.8,27.89
156,堡林,2023-05-09,17,55.8,29.6
156,堡林,2023-05-10,18.8,49.4,29.41
156,堡林,2023-05-11,19.6,54.6,24.58
156,堡林,2023-05-12,18.6,70,17.74
156,堡林,2023-05-13,18.7,72,24.48
156,堡林,2023-05-14,19.3,63.4,27.42
156,堡林,2023-05-15,20.9,63.4,24.82
156,堡林,2023-05-16,23.2,62.8,28.77
156,堡林,2023-05-17,23.4,69.3,28.43
156,堡林,2023-05-18,18.2,96,7.02
156,堡林,2023-05-19,20.4,81.1,20.32
156,堡林,2023-05-20,20.6,82,24.47
156,堡林,2023-05-21,18.7,86.6,25.61
156,堡林,2023-05-22,17,80.4,9.6
156,堡林,2023-05-23,19,65.1,28.73
156,堡林,2023-05-24,20,61.5,20.12
156,堡林,2023-05-25,21.2,53.4,20.59
156,堡林,2023-05-26,21.4,69.6,14.4
156,堡林,2023-05-27,22.7,81.9,15.53
156,堡林,2023-05-28,22.7,97.1,9
156,堡林,2023-05-29,21.2,99,3.37
156,堡林,2023-05-30,21.4,98.1,9.25
156,堡林,2023-05-31,22.9,70.6,29.54
156,堡林,2023-06-01,19,91.4,6.13
156,堡林,2023-06-02,22.2,84.1,29.06
156,堡林,2023-06-03,22,63.6,30.51
156,堡林,2023-06-04,22.4,57.8,25.85
156,堡林,2023-06-05,21.2,75.3,16.71
156,堡林,2023-06-06,21.6,75.8,28.47
156,堡林,2023-06-07,21.7,79.4,26.51
156,堡林,2023-06-08,22.5,79.6,23.58
156,堡林,2023-06-09,24.2,71.4,27.38
156,堡林,2023-06-10,24.1,78.8,25.93
156,堡林,2023-06-11,24.5,82,19.2
