瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭 惑措嚼档(%),钦拌 老荤樊(MJ/m2)
143,措备,2018-01-01,1.3,36.1,10.87
143,措备,2018-01-02,1.5,50.6,8.29
143,措备,2018-01-03,.3,30,10.38
143,措备,2018-01-04,.6,38.5,9.95
143,措备,2018-01-05,2.1,36.5,9.77
143,措备,2018-01-06,1.1,42,11.3
143,措备,2018-01-07,-.5,54,4.73
143,措备,2018-01-08,2.2,80.6,2.65
143,措备,2018-01-09,-.1,56,10.3
143,措备,2018-01-10,-2.9,55,10.1
143,措备,2018-01-11,-6.6,45.4,11.37
143,措备,2018-01-12,-6.6,38.9,12.22
143,措备,2018-01-13,-2.5,56,8.88
143,措备,2018-01-14,-.8,68.8,12.12
143,措备,2018-01-15,4.3,61.3,10.81
143,措备,2018-01-16,3.4,82.5,3.78
143,措备,2018-01-17,4.5,92.8,3.71
143,措备,2018-01-18,5.8,62.8,7.15
143,措备,2018-01-19,2.5,46,10.26
143,措备,2018-01-20,1.8,57.1,10.4
143,措备,2018-01-21,2.4,55.4,10.8
143,措备,2018-01-22,4.5,52.1,7.7
143,措备,2018-01-23,-4.7,35.3,13.12
143,措备,2018-01-24,-9.4,29.1,13.19
143,措备,2018-01-25,-8.7,31.9,11.48
143,措备,2018-01-26,-8.9,31,13.88
143,措备,2018-01-27,-5.6,34.1,13.17
143,措备,2018-01-28,-1.1,27.9,12.55
143,措备,2018-01-29,-4.9,34.9,13.38
143,措备,2018-01-30,-3.5,40.4,13.08
143,措备,2018-01-31,-.3,44,10.04
143,措备,2018-02-01,-.2,33.9,13.77
143,措备,2018-02-02,-1.5,36.9,10.93
143,措备,2018-02-03,-3.2,39.5,13.68
143,措备,2018-02-04,-6.4,35.4,14.7
143,措备,2018-02-05,-6.2,32.6,14.45
143,措备,2018-02-06,-6.7,37,15.06
143,措备,2018-02-07,-5.3,31.9,15.13
143,措备,2018-02-08,-3.1,35.8,13.47
143,措备,2018-02-09,2.3,42.3,12.29
143,措备,2018-02-10,3.3,41.5,8.47
143,措备,2018-02-11,-2.3,39.3,12.73
143,措备,2018-02-12,-2.7,53.3,12.58
143,措备,2018-02-13,.7,43.5,15.87
143,措备,2018-02-14,6.6,46.8,12.75
143,措备,2018-02-15,5,27.8,12.75
143,措备,2018-02-16,3,33.3,12.96
143,措备,2018-02-17,1.3,21.8,16.89
143,措备,2018-02-18,2.1,22.6,9.22
143,措备,2018-02-19,4.8,29.6,13.25
143,措备,2018-02-20,4.3,34.8,12.89
143,措备,2018-02-21,2.8,21.4,9.7
143,措备,2018-02-22,2.2,29.8,16.11
143,措备,2018-02-23,4.3,48.9,13.45
143,措备,2018-02-24,6.4,53.5,10.18
143,措备,2018-02-25,6.3,58.5,9.8
143,措备,2018-02-26,4.9,48.3,17.59
143,措备,2018-02-27,7,51.9,13.36
143,措备,2018-02-28,7.4,80.4,2.25
143,措备,2018-03-01,5.1,47.1,17.12
143,措备,2018-03-02,3.5,33.3,19.06
143,措备,2018-03-03,8.2,47.3,16.33
143,措备,2018-03-04,12.7,72.4,9.75
143,措备,2018-03-05,5.3,81.3,2.8
143,措备,2018-03-06,5.2,59.9,19.17
143,措备,2018-03-07,4.7,72.4,3.26
143,措备,2018-03-08,2,94.9,3.57
143,措备,2018-03-09,2.9,82.5,10.61
143,措备,2018-03-10,6.9,60.6,19
143,措备,2018-03-11,8.6,46.1,19.1
143,措备,2018-03-12,9.8,54,18.7
143,措备,2018-03-13,13.3,58.9,19.49
143,措备,2018-03-14,16,60,19.09
143,措备,2018-03-15,14.8,88.8,2.54
143,措备,2018-03-16,4,64.9,8.16
143,措备,2018-03-17,5.5,56.1,20.81
143,措备,2018-03-18,9.1,68.8,12.99
143,措备,2018-03-19,8.1,92.4,2.33
143,措备,2018-03-20,5.2,52.1,15.83
143,措备,2018-03-21,1.7,93.3,4.4
143,措备,2018-03-22,6,60.5,21.14
143,措备,2018-03-23,7.9,54.9,21.81
143,措备,2018-03-24,11.7,47.1,18.76
143,措备,2018-03-25,13.9,41.6,22.15
143,措备,2018-03-26,15.3,36.8,21.77
143,措备,2018-03-27,16.3,44.4,20.89
143,措备,2018-03-28,18.2,37.8,21.75
143,措备,2018-03-29,15.1,54.4,16.76
143,措备,2018-03-30,12.9,50.3,21.17
143,措备,2018-03-31,15.2,48.8,20.1
143,措备,2018-04-01,17.5,52.4,14.72
143,措备,2018-04-02,19.7,61,21.12
143,措备,2018-04-03,20.2,60,20.26
143,措备,2018-04-04,10.5,84,2.53
143,措备,2018-04-05,8.2,84.1,3.44
143,措备,2018-04-06,9.5,63.1,16
143,措备,2018-04-07,6.2,35,18.89
143,措备,2018-04-08,8.9,41.6,23.32
143,措备,2018-04-09,13.5,39.9,22.84
143,措备,2018-04-10,15.5,52,22.33
143,措备,2018-04-11,19,41.8,23.8
143,措备,2018-04-12,16.4,24.4,22.84
143,措备,2018-04-13,12.8,38.5,16.25
143,措备,2018-04-14,10.5,81.5,2.18
143,措备,2018-04-15,12.8,50.1,22.11
143,措备,2018-04-16,12.2,57,23.7
143,措备,2018-04-17,14.6,55.8,22.47
143,措备,2018-04-18,16.9,43.4,25.2
143,措备,2018-04-19,19.2,30.1,25.23
143,措备,2018-04-20,21.5,33.9,24.25
143,措备,2018-04-21,21.8,35.1,24.68
143,措备,2018-04-22,16.1,61.8,6.8
143,措备,2018-04-23,10.4,90.6,1.99
143,措备,2018-04-24,11.2,88.6,4.14
143,措备,2018-04-25,13.2,50.3,26.5
143,措备,2018-04-26,16.4,44.9,22.05
143,措备,2018-04-27,17.4,35.1,23.2
143,措备,2018-04-28,17.8,43.1,25.83
143,措备,2018-04-29,19,37.1,27.15
143,措备,2018-04-30,21,54.9,24.07
143,措备,2018-05-01,20.1,70,14.36
143,措备,2018-05-02,15.1,85.1,3.65
143,措备,2018-05-03,14.1,43.6,22.21
143,措备,2018-05-04,16.1,33.5,27.69
143,措备,2018-05-05,19.9,29.5,21.95
143,措备,2018-05-06,16.2,93.5,1.94
143,措备,2018-05-07,15.5,87.4,9.16
143,措备,2018-05-08,14.3,68.5,9.25
143,措备,2018-05-09,12.9,62.6,19.74
143,措备,2018-05-10,17.6,51.4,26
143,措备,2018-05-11,19.7,46.5,26.09
143,措备,2018-05-12,17.7,70.5,3.27
143,措备,2018-05-13,20.6,68.3,20.76
143,措备,2018-05-14,22.2,55.8,26.21
143,措备,2018-05-15,24.6,53.6,22.94
143,措备,2018-05-16,24.8,77.8,5.49
143,措备,2018-05-17,26.5,68.6,18.87
143,措备,2018-05-18,16.9,85.1,7.36
143,措备,2018-05-19,14.4,62.1,20.81
143,措备,2018-05-20,14.4,65.1,22.67
143,措备,2018-05-21,15.2,71.6,12.38
143,措备,2018-05-22,18.5,69.6,18.89
143,措备,2018-05-23,20.1,59.4,27.27
143,措备,2018-05-24,21.2,45.6,28.3
143,措备,2018-05-25,22.8,40.1,24.17
143,措备,2018-05-26,22.5,47.8,28.02
143,措备,2018-05-27,22.2,56.3,15.75
143,措备,2018-05-28,22.8,60.1,20.69
143,措备,2018-05-29,23.9,64.3,21.4
143,措备,2018-05-30,21.9,79.3,15.97
143,措备,2018-05-31,21.8,53.8,26.68
143,措备,2018-06-01,24.3,53.1,28.04
143,措备,2018-06-02,26.8,42.4,27.77
143,措备,2018-06-03,25.2,42.1,24.3
143,措备,2018-06-04,25.3,48.9,20.61
143,措备,2018-06-05,22.6,64,13.95
143,措备,2018-06-06,24.6,57.9,23.28
143,措备,2018-06-07,27,52.5,26.84
143,措备,2018-06-08,25.6,50.1,24.76
143,措备,2018-06-09,20.2,62.8,19.64
143,措备,2018-06-10,18.7,71.5,14.3
143,措备,2018-06-11,17,81,7.19
143,措备,2018-06-12,19.1,64.4,15.17
143,措备,2018-06-13,20.3,65,20.69
143,措备,2018-06-14,20.1,64.1,23.39
143,措备,2018-06-15,19.1,59,22.45
143,措备,2018-06-16,18.7,60.1,21.22
143,措备,2018-06-17,21.9,57.8,20.76
143,措备,2018-06-18,25.4,56.3,20.9
143,措备,2018-06-19,22.4,74.8,7.62
143,措备,2018-06-20,24.7,55.3,24.79
143,措备,2018-06-21,25.4,42.4,29.19
143,措备,2018-06-22,25.6,41.6,23.15
143,措备,2018-06-23,26.4,42,21.39
143,措备,2018-06-24,28.6,39.8,27.48
143,措备,2018-06-25,28.2,44.3,19.54
143,措备,2018-06-26,26,68.9,5.1
