瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭 惑措嚼档(%),钦拌 老荤樊(MJ/m2)
143,措备,2017-01-01,3.4,73.3,8.56
143,措备,2017-01-02,5.3,73.4,9.27
143,措备,2017-01-03,5.2,49.8,10.24
143,措备,2017-01-04,3.9,66,7.76
143,措备,2017-01-05,3.4,80,3.03
143,措备,2017-01-06,4.9,71.9,4.21
143,措备,2017-01-07,3.3,75.9,6.38
143,措备,2017-01-08,7.4,70.1,6.35
143,措备,2017-01-09,6.2,49.8,7.81
143,措备,2017-01-10,1.7,45,11.11
143,措备,2017-01-11,-.7,37.6,11.44
143,措备,2017-01-12,1.2,50.6,9.06
143,措备,2017-01-13,-.6,40.6,7.14
143,措备,2017-01-14,-4.3,35.1,12.17
143,措备,2017-01-15,-3.3,26.1,12.39
143,措备,2017-01-16,-1.4,41.8,11.86
143,措备,2017-01-17,-1,49.4,9.51
143,措备,2017-01-18,2.1,48.6,8.6
143,措备,2017-01-19,1.2,67.3,9.57
143,措备,2017-01-20,-.7,61.3,7.47
143,措备,2017-01-21,-1.3,55.6,10.78
143,措备,2017-01-22,-2.7,55.3,12.24
143,措备,2017-01-23,-4.4,43.1,12.41
143,措备,2017-01-24,-2.6,41,12.89
143,措备,2017-01-25,-2.2,43.8,13.06
143,措备,2017-01-26,-.3,41,12.4
143,措备,2017-01-27,3.7,28.5,12.41
143,措备,2017-01-28,2,31.4,12.81
143,措备,2017-01-29,3.9,53.5,2.08
143,措备,2017-01-30,.8,47.8,12.82
143,措备,2017-01-31,-.6,39.1,13.21
143,措备,2017-02-01,.8,31.4,12.36
143,措备,2017-02-02,1.3,24.9,14.7
143,措备,2017-02-03,4.3,42.6,12.89
143,措备,2017-02-04,6.5,36.4,12.19
143,措备,2017-02-05,6.1,66.8,7.54
143,措备,2017-02-06,2.4,40,14.39
143,措备,2017-02-07,1.8,47.9,11.37
143,措备,2017-02-08,2.4,49.9,7.28
143,措备,2017-02-09,-1,38.6,13.4
143,措备,2017-02-10,-3,39.4,15.59
143,措备,2017-02-11,-2.1,41.9,15.46
143,措备,2017-02-12,.7,42.1,15.85
143,措备,2017-02-13,2.6,53.5,14.09
143,措备,2017-02-14,2.7,54.8,15.33
143,措备,2017-02-15,4,38.4,14.99
143,措备,2017-02-16,8.9,46.5,12.46
143,措备,2017-02-17,9.3,40.9,11.98
143,措备,2017-02-18,1.3,27.4,16.91
143,措备,2017-02-19,4.5,49.4,13.99
143,措备,2017-02-20,5.2,52.3,15.09
143,措备,2017-02-21,2.7,50.1,16.33
143,措备,2017-02-22,3.5,85.6,1.92
143,措备,2017-02-23,2.4,50.5,10.03
143,措备,2017-02-24,1.7,35.4,17.74
143,措备,2017-02-25,4.1,41.6,17.61
143,措备,2017-02-26,4.8,51.4,16.34
143,措备,2017-02-27,5.3,67.1,16.03
143,措备,2017-02-28,7.1,52,17.24
143,措备,2017-03-01,7.5,50,11.78
143,措备,2017-03-02,5.2,61.6,8.3
143,措备,2017-03-03,6.2,36.4,18.2
143,措备,2017-03-04,8.2,44.4,17
143,措备,2017-03-05,8.3,45.3,13.09
143,措备,2017-03-06,4.7,32.9,19.16
143,措备,2017-03-07,1.3,37.5,19.16
143,措备,2017-03-08,2.2,40.5,17.98
143,措备,2017-03-09,6.6,31.8,19.24
143,措备,2017-03-10,7.3,28.9,19.9
143,措备,2017-03-11,7.9,39,18.43
143,措备,2017-03-12,10.8,36.6,17.2
143,措备,2017-03-13,10.1,44.4,17.52
143,措备,2017-03-14,8.3,52.9,19.34
143,措备,2017-03-15,6.6,51.6,20.12
143,措备,2017-03-16,8.7,46.4,17.08
143,措备,2017-03-17,9.4,33,19.15
143,措备,2017-03-18,10.3,38,14.2
143,措备,2017-03-19,10.4,39.9,19.56
143,措备,2017-03-20,8.1,74.3,8.78
143,措备,2017-03-21,8.9,64,18.11
143,措备,2017-03-22,8.9,44.5,17.91
143,措备,2017-03-23,11.4,37.3,16.54
143,措备,2017-03-24,9.7,49.4,13.56
143,措备,2017-03-25,6.3,85.3,5.84
143,措备,2017-03-26,6.5,80.6,10.52
143,措备,2017-03-27,6.4,67.1,10.31
143,措备,2017-03-28,8.8,52.3,18.95
143,措备,2017-03-29,9.8,70.8,17.29
143,措备,2017-03-30,11.9,58,21.24
143,措备,2017-03-31,9.3,71,5.37
143,措备,2017-04-01,7.6,81.6,10.13
143,措备,2017-04-02,9.2,55.6,22.18
143,措备,2017-04-03,13.9,31.4,23.46
143,措备,2017-04-04,15.4,40.4,21.25
143,措备,2017-04-05,14.6,69,4.83
143,措备,2017-04-06,16.9,82,8.38
143,措备,2017-04-07,15.8,66.6,23.41
143,措备,2017-04-08,18.7,53,21.39
143,措备,2017-04-09,13.3,59.9,7.67
143,措备,2017-04-10,12,59.8,23.92
143,措备,2017-04-11,13,69.9,16.06
143,措备,2017-04-12,14.6,23.8,21.29
143,措备,2017-04-13,15.6,31.9,22.83
143,措备,2017-04-14,16.2,49.4,18.64
143,措备,2017-04-15,20.6,42.3,24.17
143,措备,2017-04-16,20.6,38.3,22.78
143,措备,2017-04-17,13.7,83.3,1.88
143,措备,2017-04-18,15.6,66.4,20.39
143,措备,2017-04-19,15.8,34.5,25.21
143,措备,2017-04-20,13.9,56.5,9.47
143,措备,2017-04-21,14.7,61.6,19.2
143,措备,2017-04-22,13.9,65.3,22.24
143,措备,2017-04-23,15.9,52.6,25.52
143,措备,2017-04-24,17.1,48.8,26.45
143,措备,2017-04-25,19.5,58.6,15.89
143,措备,2017-04-26,16,58.6,16.33
143,措备,2017-04-27,15.4,29.3,25.37
143,措备,2017-04-28,17.7,29.6,25.64
143,措备,2017-04-29,19.7,31.8,25.81
143,措备,2017-04-30,23.5,35.9,23.3
143,措备,2017-05-01,18.5,42.6,26.55
143,措备,2017-05-02,16.7,47.1,23.13
143,措备,2017-05-03,19.3,42.8,27.09
143,措备,2017-05-04,20.3,51.3,22.03
143,措备,2017-05-05,20.6,76.5,12.19
143,措备,2017-05-06,19.2,32.9,23.66
143,措备,2017-05-07,20.1,30.8,26.29
143,措备,2017-05-08,20.5,36.8,19.25
143,措备,2017-05-09,15.4,83.9,4.09
143,措备,2017-05-10,16.3,82,7.84
143,措备,2017-05-11,20,68,21.38
143,措备,2017-05-12,18,81.3,4.37
143,措备,2017-05-13,20.2,61.4,24.71
143,措备,2017-05-14,19.7,36,28.12
143,措备,2017-05-15,19,38.6,24.44
143,措备,2017-05-16,18.8,54.5,18.76
143,措备,2017-05-17,19.4,62.4,21.18
143,措备,2017-05-18,22.4,50,26.25
143,措备,2017-05-19,25.1,31.6,27.74
143,措备,2017-05-20,25.3,30.6,25.16
143,措备,2017-05-21,24.1,43.4,23.95
143,措备,2017-05-22,22.3,56,27.01
143,措备,2017-05-23,21.8,61.1,18.29
143,措备,2017-05-24,21.2,74,14.16
143,措备,2017-05-25,23.6,48,27.92
143,措备,2017-05-26,17.9,49.1,28.03
143,措备,2017-05-27,19.3,56.6,27.49
143,措备,2017-05-28,22.7,53,24.79
143,措备,2017-05-29,27.5,40.9,25.84
143,措备,2017-05-30,26.3,43.1,20.19
143,措备,2017-05-31,24.6,54,16.19
143,措备,2017-06-01,23.8,64.6,23.02
143,措备,2017-06-02,20.2,54,28.93
143,措备,2017-06-03,20.7,49.5,28.26
143,措备,2017-06-04,20.7,46.8,29.18
143,措备,2017-06-05,19.6,55.4,26.63
143,措备,2017-06-06,17.9,77.4,8.55
143,措备,2017-06-07,21.3,76.4,11.32
143,措备,2017-06-08,22.6,51,25.96
143,措备,2017-06-09,25.6,42.1,26.22
143,措备,2017-06-10,22.5,47.3,16.79
143,措备,2017-06-11,21.1,48.3,28.09
143,措备,2017-06-12,19.2,62.3,21.27
143,措备,2017-06-13,20.5,63.8,21.14
143,措备,2017-06-14,22.6,59.1,27.87
143,措备,2017-06-15,25.8,42.1,27.37
143,措备,2017-06-16,22.1,65.9,26.55
143,措备,2017-06-17,23.5,62,26.9
143,措备,2017-06-18,26.1,56.4,27.26
143,措备,2017-06-19,28.6,45.8,25.76
143,措备,2017-06-20,25,57.4,14.86
143,措备,2017-06-21,24.2,68.1,20.99
143,措备,2017-06-22,26,56.1,23.19
143,措备,2017-06-23,26.6,55.5,22.92
143,措备,2017-06-24,25.8,56.3,19.44
143,措备,2017-06-25,23.5,73.4,15.93
143,措备,2017-06-26,21.9,86.5,12.7
143,措备,2017-06-27,23.9,73,17.85
143,措备,2017-06-28,25.9,63.6,24.46
143,措备,2017-06-29,25.2,70.3,14.82
143,措备,2017-06-30,27.1,68,19.85
143,措备,2017-07-01,27.5,72.5,9.56
143,措备,2017-07-02,27.4,78.5,9.64
143,措备,2017-07-03,28.7,70.6,14.32
143,措备,2017-07-04,26.4,81.9,11.4
143,措备,2017-07-05,27.4,70.5,19.89
143,措备,2017-07-06,26.9,76.9,14.45
143,措备,2017-07-07,26.8,81.6,9.18
