瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭 惑措嚼档(%),钦拌 老荤樊(MJ/m2)
143,措备,2019-01-01,-.6,49.3,8.28
143,措备,2019-01-02,-.5,39.3,11.2
143,措备,2019-01-03,0,30.1,11.37
143,措备,2019-01-04,.9,38,8.7
143,措备,2019-01-05,2.4,38.3,9.87
143,措备,2019-01-06,.6,29.9,10.33
143,措备,2019-01-07,1.2,38.3,10.2
143,措备,2019-01-08,1.2,38,10.68
143,措备,2019-01-09,-1.3,33.6,9.89
143,措备,2019-01-10,1.7,41.5,9.97
143,措备,2019-01-11,3,54.6,9.75
143,措备,2019-01-12,3.1,88.1,2.23
143,措备,2019-01-13,1.8,79.1,9.35
143,措备,2019-01-14,2,63,10.21
143,措备,2019-01-15,2.6,51.8,9.64
143,措备,2019-01-16,-1.9,34.9,12.47
143,措备,2019-01-17,1.5,47,9.43
143,措备,2019-01-18,2.5,45.6,11.23
143,措备,2019-01-19,4.5,46.1,8.57
143,措备,2019-01-20,3.4,39.3,12.02
143,措备,2019-01-21,1.9,38.5,12.52
143,措备,2019-01-22,3.9,45.9,11.98
143,措备,2019-01-23,4.2,41.1,10.76
143,措备,2019-01-24,2.8,29.3,12.62
143,措备,2019-01-25,1.1,35.9,10
143,措备,2019-01-26,-.3,25.1,13.4
143,措备,2019-01-27,.7,34.5,13.47
143,措备,2019-01-28,3.1,35.8,11.06
143,措备,2019-01-29,1.6,39.9,12.92
143,措备,2019-01-30,5.2,34.1,12.46
143,措备,2019-01-31,1.4,66.1,2.69
143,措备,2019-02-01,0,44.8,14.02
143,措备,2019-02-02,3,51,13.83
143,措备,2019-02-03,5,85.5,2.18
143,措备,2019-02-04,4.1,28.9,14.03
143,措备,2019-02-05,3.3,41.3,12.78
143,措备,2019-02-06,6.6,40,13.07
143,措备,2019-02-07,3.9,41,8.41
143,措备,2019-02-08,-.1,26.6,13.48
143,措备,2019-02-09,.2,22.5,14.42
143,措备,2019-02-10,1,29.3,8.38
143,措备,2019-02-11,.6,27.8,15.5
143,措备,2019-02-12,1.5,37.4,13.84
143,措备,2019-02-13,2.6,28.3,14.11
143,措备,2019-02-14,2.1,52.1,10.43
143,措备,2019-02-15,4.1,54.4,10.41
143,措备,2019-02-16,1,45.9,13.23
143,措备,2019-02-17,1.8,31.6,17
143,措备,2019-02-18,4.9,27.3,9.92
143,措备,2019-02-19,3.6,87,2.02
143,措备,2019-02-20,3.8,57.4,11.86
143,措备,2019-02-21,3.7,60.1,14.98
143,措备,2019-02-22,6,54.3,11.9
143,措备,2019-02-23,5.6,65,13.01
143,措备,2019-02-24,6.9,56.1,17.04
143,措备,2019-02-25,9.2,48.5,15.39
143,措备,2019-02-26,8.1,51.8,16.83
143,措备,2019-02-27,9.1,67.9,8.84
143,措备,2019-02-28,9,60.9,14.75
143,措备,2019-03-01,8.4,43.3,17.32
143,措备,2019-03-02,8,57.9,14.43
143,措备,2019-03-03,10,53,11.71
143,措备,2019-03-04,10.9,49.8,16.45
143,措备,2019-03-05,10.1,52.6,12.18
143,措备,2019-03-06,11.2,49.8,10.8
143,措备,2019-03-07,8.7,55.5,11.24
143,措备,2019-03-08,8.5,52.5,18.82
143,措备,2019-03-09,10.9,46,16.73
143,措备,2019-03-10,8.5,76,2.78
143,措备,2019-03-11,8.2,69.3,14.07
143,措备,2019-03-12,8.4,55.8,16.45
143,措备,2019-03-13,5.3,30,15.89
143,措备,2019-03-14,6.8,30.1,20.02
143,措备,2019-03-15,6.8,52,13.47
143,措备,2019-03-16,7.6,48.4,19.56
143,措备,2019-03-17,8.5,42.9,20.74
143,措备,2019-03-18,9,49.6,15.48
143,措备,2019-03-19,13.5,43.6,18.95
143,措备,2019-03-20,12.6,61.4,7.04
143,措备,2019-03-21,13.5,61.8,17.64
143,措备,2019-03-22,7.2,40.4,21.1
143,措备,2019-03-23,6,42.9,19.61
143,措备,2019-03-24,6.6,39.4,23.13
143,措备,2019-03-25,9.3,41.5,17.29
143,措备,2019-03-26,11.7,44,21.57
143,措备,2019-03-27,15,35.1,19.08
143,措备,2019-03-28,12.1,61.6,18.27
143,措备,2019-03-29,12.5,60.3,16.45
143,措备,2019-03-30,9.2,60.4,16.32
143,措备,2019-03-31,6.7,39.6,16.11
143,措备,2019-04-01,7.1,34.6,19.26
143,措备,2019-04-02,8.1,34.1,24.01
143,措备,2019-04-03,9.8,26.3,24.27
143,措备,2019-04-04,13.1,21.9,23.93
143,措备,2019-04-05,15.2,26.5,20.83
143,措备,2019-04-06,15.6,25.6,21.93
143,措备,2019-04-07,13.1,57.1,10.61
143,措备,2019-04-08,13.1,44,23.04
143,措备,2019-04-09,9.1,59.3,12.86
143,措备,2019-04-10,7.9,78.5,5.62
143,措备,2019-04-11,10.5,64.1,16.04
143,措备,2019-04-12,12.8,49.8,23.27
143,措备,2019-04-13,13.3,45.3,21.91
143,措备,2019-04-14,12.5,44.4,8.72
143,措备,2019-04-15,14.2,28.3,24.18
143,措备,2019-04-16,17,26.1,
143,措备,2019-04-17,18,33.8,21.63
143,措备,2019-04-18,19,45.4,23.12
143,措备,2019-04-19,12,59.3,3.79
143,措备,2019-04-20,17.1,48.6,24.52
143,措备,2019-04-21,19.4,52.6,16.06
143,措备,2019-04-22,17.5,59.9,24.24
143,措备,2019-04-23,16,73,9.27
143,措备,2019-04-24,18.1,86.4,8.85
143,措备,2019-04-25,14.1,67.8,6.57
143,措备,2019-04-26,10.1,89.1,4.29
143,措备,2019-04-27,12.6,56.5,25.76
143,措备,2019-04-28,13.4,56,15.11
143,措备,2019-04-29,10.8,88.8,2.48
143,措备,2019-04-30,14.6,82.6,14.46
143,措备,2019-05-01,17.9,54.3,20.93
143,措备,2019-05-02,19,39.4,26.48
143,措备,2019-05-03,19.3,40.5,26.78
143,措备,2019-05-04,20.3,49,24.19
143,措备,2019-05-05,21.6,41.5,22.29
143,措备,2019-05-06,15.1,49.1,25.45
143,措备,2019-05-07,15.6,42.6,27.79
143,措备,2019-05-08,17.8,31.5,23.5
143,措备,2019-05-09,20.1,24.9,25.64
143,措备,2019-05-10,21.1,28.5,26.57
143,措备,2019-05-11,21.6,36.5,25.65
143,措备,2019-05-12,18.5,48.4,25.22
143,措备,2019-05-13,19.6,55.4,21.91
143,措备,2019-05-14,22.8,55.1,21.38
143,措备,2019-05-15,22.7,56.3,21.12
143,措备,2019-05-16,23.2,48.5,20.42
143,措备,2019-05-17,22.5,45.1,19.92
143,措备,2019-05-18,18.1,83.6,8.81
143,措备,2019-05-19,19.6,82.4,9.74
143,措备,2019-05-20,18.8,56.9,15.25
143,措备,2019-05-21,18.6,35.6,29.15
143,措备,2019-05-22,21.4,33.5,28.96
143,措备,2019-05-23,23.2,39.5,27.79
143,措备,2019-05-24,25.5,43.6,26.1
143,措备,2019-05-25,25.9,38.4,20.79
143,措备,2019-05-26,25.5,37.3,26.41
143,措备,2019-05-27,21,75.9,2.9
143,措备,2019-05-28,19.5,43,25.25
143,措备,2019-05-29,22.5,35.5,28.81
143,措备,2019-05-30,23.2,32.8,24.13
143,措备,2019-05-31,19.9,58,23.03
143,措备,2019-06-01,21.3,46.5,23.58
143,措备,2019-06-02,23.2,46.1,25.97
143,措备,2019-06-03,25.4,44.8,26.44
143,措备,2019-06-04,27.1,46.4,25.7
143,措备,2019-06-05,27.4,41.4,27.38
143,措备,2019-06-06,24.3,60.3,15.89
143,措备,2019-06-07,18.5,95.4,4.12
143,措备,2019-06-08,21.1,71.1,24.71
143,措备,2019-06-09,18.6,70.9,26.99
143,措备,2019-06-10,19,63.9,20.25
143,措备,2019-06-11,19.4,63.9,23.2
143,措备,2019-06-12,21.1,60.5,24.03
143,措备,2019-06-13,22.9,55.3,25.53
143,措备,2019-06-14,20.2,68.6,7.06
143,措备,2019-06-15,21.3,75,20.45
143,措备,2019-06-16,20.8,71.4,24.6
143,措备,2019-06-17,24,57.1,22.16
143,措备,2019-06-18,24.1,60.1,18.92
143,措备,2019-06-19,24.6,60.1,21.88
143,措备,2019-06-20,26.8,54,25.83
143,措备,2019-06-21,25.5,62.4,24.58
143,措备,2019-06-22,21.5,62.4,27.04
143,措备,2019-06-23,21.5,61.4,24.21
143,措备,2019-06-24,23.1,62.4,23.16
143,措备,2019-06-25,25,61.8,27.36
143,措备,2019-06-26,19.7,91.5,4.36
143,措备,2019-06-27,24.4,87.4,12.64
143,措备,2019-06-28,23.6,86.5,18.24
143,措备,2019-06-29,21.5,95.4,3.68
143,措备,2019-06-30,25.7,74.8,20.64
143,措备,2019-07-01,24.3,77.6,8.49
143,措备,2019-07-02,25.2,61.3,26.1
143,措备,2019-07-03,24.8,67.1,16.26
143,措备,2019-07-04,26.4,59.9,23.3
143,措备,2019-07-05,26.4,61.9,25.87
143,措备,2019-07-06,24,69.5,28.23
143,措备,2019-07-07,22.9,65.3,21.29
143,措备,2019-07-08,22.3,68.8,20.9
143,措备,2019-07-09,21.6,73.3,11.68
143,措备,2019-07-10,21.4,86.9,4.67
143,措备,2019-07-11,24.4,82.4,11.47
143,措备,2019-07-12,25.3,64.6,20.37
143,措备,2019-07-13,24.4,72.8,13.55
143,措备,2019-07-14,24.6,73.9,19.86
143,措备,2019-07-15,23.2,82.3,9.89
143,措备,2019-07-16,24.6,78.8,22.68
143,措备,2019-07-17,25,75,22.74
143,措备,2019-07-18,24.1,85.8,11.17
143,措备,2019-07-19,24.2,96.3,5.67
143,措备,2019-07-20,24.6,98.3,5.47
143,措备,2019-07-21,25.7,91.5,4.92
143,措备,2019-07-22,28.5,76.1,21.12
143,措备,2019-07-23,29.5,73.6,18.37
143,措备,2019-07-24,28.1,74.5,10.08
143,措备,2019-07-25,27.5,87.5,6.01
143,措备,2019-07-26,29.1,74.5,12.59
143,措备,2019-07-27,28.1,84.6,7.38
143,措备,2019-07-28,29.3,72.9,11.91
143,措备,2019-07-29,29.4,69.9,18.29
143,措备,2019-07-30,30.4,67.1,24.78
143,措备,2019-07-31,31,64.5,22.22
143,措备,2019-08-01,31.1,65.3,21.45
143,措备,2019-08-02,31.6,64.6,22.05
143,措备,2019-08-03,29.5,68.6,20.27
143,措备,2019-08-04,30.3,67.1,18.01
143,措备,2019-08-05,29.9,64.1,23.39
143,措备,2019-08-06,26.3,82.1,9.85
143,措备,2019-08-07,28.4,80.3,17.29
143,措备,2019-08-08,28.7,76,15.19
143,措备,2019-08-09,29.8,72.5,18.33
143,措备,2019-08-10,28.8,73.9,23.06
143,措备,2019-08-11,29.7,66,25.42
143,措备,2019-08-12,30,68.8,18.51
143,措备,2019-08-13,29.4,72.3,21.51
143,措备,2019-08-14,29.1,72,13.48
143,措备,2019-08-15,27.3,87.6,6.22
143,措备,2019-08-16,28.7,68.5,13.15
143,措备,2019-08-17,28.9,62.5,24.91
143,措备,2019-08-18,28.5,60.5,25.08
143,措备,2019-08-19,26.9,72.9,16.19
143,措备,2019-08-20,26.9,68,18.31
143,措备,2019-08-21,26,84.9,10.46
143,措备,2019-08-22,26.2,87.5,7.56
143,措备,2019-08-23,26.4,62.8,16.43
143,措备,2019-08-24,23.4,74.9,13.19
143,措备,2019-08-25,24.8,71.6,18.45
143,措备,2019-08-26,25.4,71.8,21.7
143,措备,2019-08-27,22.5,95.1,2.61
143,措备,2019-08-28,23.6,94.4,7.36
143,措备,2019-08-29,23.3,94.1,3.84
143,措备,2019-08-30,24.5,72.9,20.95
143,措备,2019-08-31,23.9,72.3,21.66
143,措备,2019-09-01,21.9,89.9,8.14
143,措备,2019-09-02,20.8,97.1,4.52
143,措备,2019-09-03,21.6,95.9,4.84
143,措备,2019-09-04,24.1,91.4,6.36
143,措备,2019-09-05,25.5,87.5,14.83
143,措备,2019-09-06,26.7,81.3,9.39
143,措备,2019-09-07,27.1,74.3,8.31
143,措备,2019-09-08,26,76.5,12.04
143,措备,2019-09-09,26.8,79.3,15.13
143,措备,2019-09-10,27.4,70.8,15.12
143,措备,2019-09-11,25.3,74.6,14.72
143,措备,2019-09-12,20.2,87.8,3.4
143,措备,2019-09-13,21.5,75.5,16.11
143,措备,2019-09-14,23,73.3,17.56
143,措备,2019-09-15,23.9,74.5,18.36
143,措备,2019-09-16,21.9,66.8,19.84
143,措备,2019-09-17,21,65.4,21.18
143,措备,2019-09-18,22.5,61.6,21.03
143,措备,2019-09-19,20.9,61.6,21.5
143,措备,2019-09-20,19.8,69.6,11.03
143,措备,2019-09-21,18.5,91.5,2.64
143,措备,2019-09-22,18.1,91.3,1.58
143,措备,2019-09-23,19.1,74.5,7.11
143,措备,2019-09-24,19.1,71.1,19.07
143,措备,2019-09-25,19,73.3,16.03
143,措备,2019-09-26,21.6,76.6,16.79
143,措备,2019-09-27,22.2,80.8,14.13
143,措备,2019-09-28,23.2,88.1,9.38
143,措备,2019-09-29,24.9,75.3,14.31
143,措备,2019-09-30,23.6,79.3,14.82
143,措备,2019-10-01,22.8,91.3,4.19
143,措备,2019-10-02,21.8,98.3,1.44
143,措备,2019-10-03,23.2,80.1,14.04
143,措备,2019-10-04,22.1,80.5,14.01
143,措备,2019-10-05,21.4,73.9,12.06
143,措备,2019-10-06,17.5,62.1,13.87
143,措备,2019-10-07,15.4,92.9,4.19
143,措备,2019-10-08,18,59.3,15.18
143,措备,2019-10-09,14.8,53.5,18.73
143,措备,2019-10-10,16.4,64.5,17.4
143,措备,2019-10-11,18.9,64.1,17.28
143,措备,2019-10-12,19.2,53.8,16.93
143,措备,2019-10-13,16,63.6,17.58
143,措备,2019-10-14,16.6,66.4,16.32
143,措备,2019-10-15,14.1,75.5,12.03
143,措备,2019-10-16,13.5,76.8,15.75
143,措备,2019-10-17,14,79.5,8.07
143,措备,2019-10-18,14.7,93.4,1.52
143,措备,2019-10-19,17.2,79.6,13.5
143,措备,2019-10-20,15.6,81.9,13.83
143,措备,2019-10-21,15.5,79.6,12.91
143,措备,2019-10-22,16,77.1,14.41
143,措备,2019-10-23,16.4,76.8,7.95
143,措备,2019-10-24,17.9,71.4,5.4
143,措备,2019-10-25,19.2,60.1,11.98
143,措备,2019-10-26,15.5,53,15.25
143,措备,2019-10-27,12.3,51.1,15.94
143,措备,2019-10-28,11.6,66.3,14
143,措备,2019-10-29,14.3,60.8,10.98
143,措备,2019-10-30,13.5,53.6,15.28
