瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭 惑措嚼档(%),钦拌 老荤樊(MJ/m2)
159,何魂,2012-01-01,2.6,51.3,7.35
159,何魂,2012-01-02,1.2,36.6,10.85
159,何魂,2012-01-03,.9,44.9,7.17
159,何魂,2012-01-04,-1.1,37.6,9.8
159,何魂,2012-01-05,-.4,33.8,11.55
159,何魂,2012-01-06,2,33.3,10.29
159,何魂,2012-01-07,3.4,33.4,10.96
159,何魂,2012-01-08,4.7,33.9,10.1
159,何魂,2012-01-09,3.4,40.3,9.85
159,何魂,2012-01-10,3.3,39.1,9.64
159,何魂,2012-01-11,.9,27.8,10.94
159,何魂,2012-01-12,-.8,28.6,12.17
159,何魂,2012-01-13,2.5,45.6,9.02
159,何魂,2012-01-14,3.1,22.3,11.73
159,何魂,2012-01-15,3.7,36.8,5.46
159,何魂,2012-01-16,5.5,71.9,3.06
159,何魂,2012-01-17,8.4,65.4,8.38
159,何魂,2012-01-18,7.2,82.1,2.96
159,何魂,2012-01-19,8.3,84.5,2.35
159,何魂,2012-01-20,8.1,73.4,5.75
159,何魂,2012-01-21,7.8,64,8.45
159,何魂,2012-01-22,3.9,32.1,10.38
159,何魂,2012-01-23,-3.1,24.1,13.27
159,何魂,2012-01-24,-2.7,35.4,10
159,何魂,2012-01-25,-2.3,31.5,13.3
159,何魂,2012-01-26,-.3,33.6,12.92
159,何魂,2012-01-27,4.6,42.5,11.19
159,何魂,2012-01-28,5.1,33.4,11.79
159,何魂,2012-01-29,3.8,27.3,11.3
159,何魂,2012-01-30,1.5,11.3,13.59
159,何魂,2012-01-31,2.6,36.6,10.91
159,何魂,2012-02-01,0,37.3,13.62
159,何魂,2012-02-02,-6.5,24.9,14.5
159,何魂,2012-02-03,-3.2,33.3,14.64
159,何魂,2012-02-04,1.8,38.1,12.38
159,何魂,2012-02-05,3.4,41.8,4.46
159,何魂,2012-02-06,5.3,65.8,5.5
159,何魂,2012-02-07,1.1,42.5,13.45
159,何魂,2012-02-08,-3.5,32.9,15.46
159,何魂,2012-02-09,-.5,39.4,14.17
159,何魂,2012-02-10,1.4,33,9.13
159,何魂,2012-02-11,1.5,23.4,15.92
159,何魂,2012-02-12,3.3,32.4,15.1
159,何魂,2012-02-13,4.4,74.5,2.85
159,何魂,2012-02-14,6.8,78.9,3.23
159,何魂,2012-02-15,6.9,44.8,9.76
159,何魂,2012-02-16,4,15.8,16.16
159,何魂,2012-02-17,-.6,28.3,16.12
159,何魂,2012-02-18,-2.1,29.1,16.81
159,何魂,2012-02-19,-.3,29.9,17.49
159,何魂,2012-02-20,3.3,27.1,17.28
159,何魂,2012-02-21,4.2,51.3,4.75
159,何魂,2012-02-22,7.6,67.9,3.14
159,何魂,2012-02-23,9.9,54.4,13.68
159,何魂,2012-02-24,6.4,56.1,3.63
159,何魂,2012-02-25,5.9,49.6,7.57
159,何魂,2012-02-26,3.7,54.1,7.03
159,何魂,2012-02-27,3.9,49.5,17.26
159,何魂,2012-02-28,4.6,69.5,2.78
159,何魂,2012-02-29,7.4,68,6.7
159,何魂,2012-03-01,9.2,64.4,7.05
159,何魂,2012-03-02,8.1,72.1,4.71
159,何魂,2012-03-03,7.6,65.6,9.6
159,何魂,2012-03-04,7.1,78,1.81
159,何魂,2012-03-05,7,85,3.53
159,何魂,2012-03-06,7.9,65.8,8.53
159,何魂,2012-03-07,7.1,51.1,10.94
159,何魂,2012-03-08,8.6,57.4,10.26
159,何魂,2012-03-09,8,56.1,14.35
159,何魂,2012-03-10,7.7,61.1,9.58
159,何魂,2012-03-11,3.7,28.4,20.17
159,何魂,2012-03-12,2,25.4,20.95
159,何魂,2012-03-13,4.2,31.8,20.62
159,何魂,2012-03-14,7.7,42.4,19.24
159,何魂,2012-03-15,9.1,45.1,18.49
159,何魂,2012-03-16,9.3,76.6,2.7
159,何魂,2012-03-17,11.8,82.3,9.71
159,何魂,2012-03-18,11.8,70.3,9.53
159,何魂,2012-03-19,7.8,60,15.1
159,何魂,2012-03-20,7.8,29,20.15
159,何魂,2012-03-21,8,33.8,21.14
159,何魂,2012-03-22,7.2,70,3.15
159,何魂,2012-03-23,8.4,85.1,1.78
159,何魂,2012-03-24,7.4,37.4,22
159,何魂,2012-03-25,5.9,28.3,20.4
159,何魂,2012-03-26,6.2,38,22.68
159,何魂,2012-03-27,10.6,34.9,21.54
159,何魂,2012-03-28,12.2,51.3,20.31
159,何魂,2012-03-29,13.5,63.8,18.79
159,何魂,2012-03-30,14,86.6,1.29
159,何魂,2012-03-31,9.6,35.5,21.17
159,何魂,2012-04-01,7.5,34.1,22.96
159,何魂,2012-04-02,12.3,60.9,21.37
159,何魂,2012-04-03,10.3,52,18.68
159,何魂,2012-04-04,9.8,40.6,22.33
159,何魂,2012-04-05,11.6,33.4,21.93
159,何魂,2012-04-06,9.3,25.5,23.18
159,何魂,2012-04-07,8.2,35.9,24.11
159,何魂,2012-04-08,14.2,46.8,23.27
159,何魂,2012-04-09,16.1,65,20.99
159,何魂,2012-04-10,14.7,78.5,5.12
159,何魂,2012-04-11,14.9,86.4,11.76
159,何魂,2012-04-12,14.5,55.1,24.24
159,何魂,2012-04-13,12.4,55.9,4.98
159,何魂,2012-04-14,13.8,58,22.69
159,何魂,2012-04-15,15.6,52.6,22.09
159,何魂,2012-04-16,16.6,45.3,23.47
159,何魂,2012-04-17,13.6,57.5,24.59
159,何魂,2012-04-18,13.9,53.6,22.72
159,何魂,2012-04-19,13.7,67.6,8.29
159,何魂,2012-04-20,13.5,75.6,7.6
159,何魂,2012-04-21,14,88.8,1.29
159,何魂,2012-04-22,14.6,76.8,16.71
159,何魂,2012-04-23,16.4,68,23.38
159,何魂,2012-04-24,18,71,23.32
159,何魂,2012-04-25,15.5,75,1.85
159,何魂,2012-04-26,16.6,38.6,27.1
159,何魂,2012-04-27,16,32,26.18
159,何魂,2012-04-28,17.1,61.4,26.82
159,何魂,2012-04-29,17.6,69.8,9.99
159,何魂,2012-04-30,17.1,69,2.25
159,何魂,2012-05-01,18.5,69.5,5.76
159,何魂,2012-05-02,17.5,78.8,7.13
159,何魂,2012-05-03,16.7,76.9,10.4
159,何魂,2012-05-04,17.5,75.3,24.66
159,何魂,2012-05-05,22.3,40.3,21.79
159,何魂,2012-05-06,20,32,25.3
159,何魂,2012-05-07,19.7,57.5,23.69
159,何魂,2012-05-08,18.8,75.8,18.75
159,何魂,2012-05-09,18.4,72.6,23.18
159,何魂,2012-05-10,15.2,67.8,10.21
159,何魂,2012-05-11,13.8,61.4,6.63
159,何魂,2012-05-12,14.4,61,22.64
159,何魂,2012-05-13,15.9,67,12.39
159,何魂,2012-05-14,17,81.9,3.43
159,何魂,2012-05-15,19.7,63.8,22.21
159,何魂,2012-05-16,19.4,57.6,23.24
159,何魂,2012-05-17,19,57.3,21.77
159,何魂,2012-05-18,17.9,46.3,25.85
159,何魂,2012-05-19,18.3,43.8,14.4
159,何魂,2012-05-20,19.9,54.1,26.26
159,何魂,2012-05-21,21.2,46.1,25.84
159,何魂,2012-05-22,21.1,41.5,25.83
159,何魂,2012-05-23,20.9,45.4,23.03
159,何魂,2012-05-24,21.8,54.1,19.45
159,何魂,2012-05-25,19.2,70.8,14.33
159,何魂,2012-05-26,21.5,41.4,25.67
159,何魂,2012-05-27,22.5,36,26.27
159,何魂,2012-05-28,20.4,58.5,22.63
159,何魂,2012-05-29,19.6,70.3,20.49
159,何魂,2012-05-30,19.5,67.8,13.12
159,何魂,2012-05-31,19.2,66.9,23.84
159,何魂,2012-06-01,19.5,65.8,20.92
159,何魂,2012-06-02,20.2,60.3,22.31
159,何魂,2012-06-03,20.1,66.3,27.55
159,何魂,2012-06-04,21.2,69.3,16.23
159,何魂,2012-06-05,22.9,64.6,25.26
159,何魂,2012-06-06,23.1,60.4,17.59
159,何魂,2012-06-07,22,75,23.87
159,何魂,2012-06-08,19.9,83.3,2.96
159,何魂,2012-06-09,20.8,75.8,10.45
159,何魂,2012-06-10,21.7,67.6,26.43
159,何魂,2012-06-11,21.2,71.5,19.33
159,何魂,2012-06-12,22.9,67.9,24.26
159,何魂,2012-06-13,21.3,65.6,15.48
159,何魂,2012-06-14,21.6,64.1,20.46
159,何魂,2012-06-15,20.8,78.3,5.29
159,何魂,2012-06-16,21.9,75.9,20.1
159,何魂,2012-06-17,22.9,71.4,21.52
159,何魂,2012-06-18,20.8,81.3,5.78
159,何魂,2012-06-19,21.2,81.4,9.06
159,何魂,2012-06-20,21.3,73,8.68
159,何魂,2012-06-21,22.5,66.3,25.84
159,何魂,2012-06-22,22.2,68.9,24.43
159,何魂,2012-06-23,22.8,66.4,17.02
159,何魂,2012-06-24,21.9,70.4,6.3
159,何魂,2012-06-25,21.8,62.3,16.84
159,何魂,2012-06-26,20.3,69.5,5.48
159,何魂,2012-06-27,19.5,77.4,3.11
159,何魂,2012-06-28,22.5,68.1,22.96
159,何魂,2012-06-29,22.4,75.1,19.95
159,何魂,2012-06-30,23.7,91.4,5.25
159,何魂,2012-07-01,24.8,74.3,19.69
159,何魂,2012-07-02,24.3,75.1,23.07
159,何魂,2012-07-03,24.8,74.6,22.93
159,何魂,2012-07-04,24.9,74.4,19.2
159,何魂,2012-07-05,24.1,90.5,8.14
159,何魂,2012-07-06,23.3,90.3,4.12
159,何魂,2012-07-07,21.7,77.3,9.6
159,何魂,2012-07-08,23.1,67.4,23.87
159,何魂,2012-07-09,22.9,81.5,21.33
159,何魂,2012-07-10,24.3,78.8,19.1
159,何魂,2012-07-11,23.7,92,.62
159,何魂,2012-07-12,24.8,84.1,21.57
159,何魂,2012-07-13,24.2,87,7.29
159,何魂,2012-07-14,22.3,91.3,4.26
159,何魂,2012-07-15,24,92.1,3.18
159,何魂,2012-07-16,23.7,80.1,15.93
159,何魂,2012-07-17,23.9,81.8,9.27
159,何魂,2012-07-18,26.1,79.3,13.73
159,何魂,2012-07-19,26,84.3,12.12
