瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭 惑措嚼档(%),钦拌 老荤樊(MJ/m2)
159,何魂,2019-01-01,1,41.9,12.34
159,何魂,2019-01-02,1.2,34.6,12.64
159,何魂,2019-01-03,3,22,12.83
159,何魂,2019-01-04,5,22.3,7.69
159,何魂,2019-01-05,5.5,31.8,10.25
159,何魂,2019-01-06,4.4,30.5,11.08
159,何魂,2019-01-07,4.4,22.8,11.38
159,何魂,2019-01-08,3.2,35.5,11.9
159,何魂,2019-01-09,2.3,36.8,10.22
159,何魂,2019-01-10,4.8,35.1,10.71
159,何魂,2019-01-11,6.2,54.9,9.68
159,何魂,2019-01-12,6.2,78.8,3.89
159,何魂,2019-01-13,6.8,56.1,10.03
159,何魂,2019-01-14,7.3,43.8,12.46
159,何魂,2019-01-15,5.6,42.3,10.79
159,何魂,2019-01-16,0,28.9,13.77
159,何魂,2019-01-17,2.4,43.5,13.41
159,何魂,2019-01-18,5.5,30.4,13.7
159,何魂,2019-01-19,7.5,49.1,9.62
159,何魂,2019-01-20,5.5,46.1,12.88
159,何魂,2019-01-21,2.8,34.6,14.18
159,何魂,2019-01-22,5.5,43.8,14.05
159,何魂,2019-01-23,6.5,44.3,12.83
159,何魂,2019-01-24,5.7,30,13.54
159,何魂,2019-01-25,4.2,25.1,8.96
159,何魂,2019-01-26,1,25,15.2
159,何魂,2019-01-27,3.9,29.1,15.49
159,何魂,2019-01-28,5.3,37.4,12.74
159,何魂,2019-01-29,5.2,46,14.39
159,何魂,2019-01-30,8.6,35.9,14.03
159,何魂,2019-01-31,2.2,73.4,1.96
159,何魂,2019-02-01,.4,51.5,15.77
159,何魂,2019-02-02,4.2,55.1,15.56
159,何魂,2019-02-03,11.6,84.9,2.57
159,何魂,2019-02-04,6.8,28.5,15.67
159,何魂,2019-02-05,8,40.4,15.66
159,何魂,2019-02-06,10.5,45.6,15.29
159,何魂,2019-02-07,8.3,45,8.3
159,何魂,2019-02-08,3.2,40,13.85
159,何魂,2019-02-09,2.5,28.5,14.37
159,何魂,2019-02-10,4,48,10.18
159,何魂,2019-02-11,2.9,29.9,16.42
159,何魂,2019-02-12,4,33.1,16.04
159,何魂,2019-02-13,4.6,31.8,16.06
159,何魂,2019-02-14,5.2,54.5,13.55
159,何魂,2019-02-15,6.3,62.9,7.25
159,何魂,2019-02-16,3.2,42.8,16.83
159,何魂,2019-02-17,3.2,30.9,18.76
159,何魂,2019-02-18,6.5,28.3,8.27
