瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭 惑措嚼档(%),钦拌 老荤樊(MJ/m2)
159,何魂,2010-01-01,-1.6,35.8,10.85
159,何魂,2010-01-02,4.7,50.4,7.01
159,何魂,2010-01-03,1.7,28.8,11
159,何魂,2010-01-04,3.9,49.6,3.92
159,何魂,2010-01-05,-1.2,40.9,10.63
159,何魂,2010-01-06,-3.3,39.6,11.45
159,何魂,2010-01-07,-2.6,41.3,11.69
159,何魂,2010-01-08,-.2,38.1,11.56
159,何魂,2010-01-09,2.1,28.8,9.54
159,何魂,2010-01-10,3.2,41.5,6.18
159,何魂,2010-01-11,2.2,42.8,8.91
159,何魂,2010-01-12,-1.4,30.5,9.39
159,何魂,2010-01-13,-4.3,37.5,12.27
159,何魂,2010-01-14,-2,41,12.01
159,何魂,2010-01-15,2.7,42.4,10.66
159,何魂,2010-01-16,2.1,20.5,12.95
159,何魂,2010-01-17,4.1,17,12.52
159,何魂,2010-01-18,6.7,23.3,10.9
159,何魂,2010-01-19,9.5,52.5,9.76
159,何魂,2010-01-20,14.1,89.5,1.19
159,何魂,2010-01-21,9.2,51.5,10.02
159,何魂,2010-01-22,.3,32.4,12.35
159,何魂,2010-01-23,.2,37.3,12.93
159,何魂,2010-01-24,2.5,43.8,13.27
159,何魂,2010-01-25,4.9,33.5,11.68
159,何魂,2010-01-26,1.7,25.5,14.33
159,何魂,2010-01-27,7.9,63.5,8.12
159,何魂,2010-01-28,7.9,51.8,12.86
159,何魂,2010-01-29,4.1,34.8,13.66
159,何魂,2010-01-30,4.4,43.1,11.28
159,何魂,2010-01-31,8.1,48,7.6
159,何魂,2010-02-01,6.2,60.6,4.17
159,何魂,2010-02-02,2,28.8,13.18
159,何魂,2010-02-03,-1.3,20.5,15.16
159,何魂,2010-02-04,-.1,32.1,13.93
159,何魂,2010-02-05,2.3,31.9,13.31
159,何魂,2010-02-06,1.5,24.3,15.86
159,何魂,2010-02-07,5.8,53.1,10.16
159,何魂,2010-02-08,9.1,89.8,2.43
159,何魂,2010-02-09,9.9,86.4,3.08
159,何魂,2010-02-10,8.1,87.8,1.36
159,何魂,2010-02-11,4.5,86.8,2.08
159,何魂,2010-02-12,2.5,77.6,5.31
159,何魂,2010-02-13,2,70,11.28
159,何魂,2010-02-14,2.5,46.6,7.06
159,何魂,2010-02-15,5.1,47.8,13.48
159,何魂,2010-02-16,3,46.9,14.01
159,何魂,2010-02-17,2.9,29.8,10.22
159,何魂,2010-02-18,2.4,32.8,17.06
159,何魂,2010-02-19,2.5,33.5,16.21
159,何魂,2010-02-20,5.6,33.1,16.84
159,何魂,2010-02-21,8.3,50.4,14.97
159,何魂,2010-02-22,10.7,56.6,13.41
159,何魂,2010-02-23,10.9,63.4,16.45
