지점,지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm)
90,속초,2016-01-01,3.6,,44.9,,,,,,
90,속초,2016-01-02,8.4,,50.4,,,,,,
90,속초,2016-01-03,6.7,,80,,,,,,
90,속초,2016-01-04,5.4,,32.6,,,,,,
90,속초,2016-01-05,.6,,16.8,,,,,,
90,속초,2016-01-06,.5,,36.4,,,,,,
90,속초,2016-01-07,-.4,,28.3,,,,,,
90,속초,2016-01-08,-1.1,,25.1,,,,,,
90,속초,2016-01-09,.1,,32,,,,,,
90,속초,2016-01-10,1.8,,30.1,,,,,,
90,속초,2016-01-11,-2,,30.9,,,,,,
90,속초,2016-01-12,-1.8,,26.6,,,,,,
90,속초,2016-01-13,-2.3,,35.5,,,,,,
90,속초,2016-01-14,-2.9,,33.6,,,,,,
90,속초,2016-01-15,-1.7,,49.4,,,,,,
90,속초,2016-01-16,-.1,0,64.5,,,,,,
90,속초,2016-01-17,1.5,,89.9,,,,,,
90,속초,2016-01-18,-2.9,,48.6,,,,,,
90,속초,2016-01-19,-10,,25.4,,,,,,
90,속초,2016-01-20,-6.3,,40.1,,,,,,
90,속초,2016-01-21,-4,,36.5,,,,,,
90,속초,2016-01-22,-3.4,,24.8,,,,,,
90,속초,2016-01-23,-8.3,,16.6,,,,,,
90,속초,2016-01-24,-10.5,,23.3,,,,,,
90,속초,2016-01-25,-6.9,,35.1,,,,,,
90,속초,2016-01-26,-1,,39.4,,,,,,
90,속초,2016-01-27,1.7,,31.6,,,,,,
90,속초,2016-01-28,-.1,,42.8,,,,,,
90,속초,2016-01-29,-.3,2.9,81.9,,,,,,
90,속초,2016-01-30,-.9,3.7,99,,,,,,
90,속초,2016-01-31,-1.9,,76.3,,,,,,
90,속초,2016-02-01,-3.5,,39.5,,,,,,
90,속초,2016-02-02,-4.1,,44.4,,,,,,
90,속초,2016-02-03,-1.6,,37.1,,,,,,
90,속초,2016-02-04,2.2,,31.3,,,,,,
90,속초,2016-02-05,.3,,26.8,,,,,,
90,속초,2016-02-06,-3.6,4.3,79.8,,,,,,
90,속초,2016-02-07,-1.9,,54.9,,,,,,
90,속초,2016-02-08,1.3,0,51.8,,,,,,
90,속초,2016-02-09,1.8,1.1,42.9,,,,,,
90,속초,2016-02-10,1.2,,51.3,,,,,,
90,속초,2016-02-11,2.1,,89.5,,,,,,
90,속초,2016-02-12,2.7,2.7,99,,,,,,
90,속초,2016-02-13,3.6,13.4,99,,,,,,
90,속초,2016-02-14,-.3,8.3,82.6,,,,,,
90,속초,2016-02-15,-3,,38.9,,,,,,
90,속초,2016-02-16,-.3,,44.9,,,,,,
90,속초,2016-02-17,2.6,,34.1,,,,,,
90,속초,2016-02-18,6.2,0,52.9,,,,,,
90,속초,2016-02-19,5.8,,35.6,,,,,,
90,속초,2016-02-20,1.8,,52.6,,,,,,
90,속초,2016-02-21,1.5,,25.1,,,,,,
90,속초,2016-02-22,3,,36.5,,,,,,
90,속초,2016-02-23,3.3,.5,58.3,,,,,,
90,속초,2016-02-24,-1.5,2,89.8,,,,,,
90,속초,2016-02-25,1.2,0,41.3,,,,,,
90,속초,2016-02-26,1.7,,42.9,,,,,,
90,속초,2016-02-27,1.9,,68.1,,,,,,
90,속초,2016-02-28,1.2,6,91.3,,,,,,
90,속초,2016-02-29,-1.7,,56.4,,,,,,
90,속초,2016-03-01,-.3,,37,,,,,,
90,속초,2016-03-02,5.8,,48,,,,,,
90,속초,2016-03-03,7.2,,79.1,,,,,,
90,속초,2016-03-04,4.6,,92.8,,,,,,
90,속초,2016-03-05,4.4,18.2,96.8,,,,,,
90,속초,2016-03-06,5.8,,81.5,,,,,,
90,속초,2016-03-07,5.2,,82.9,,,,,,
