지점,지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm)
90,속초,2021-01-01,-2.9,,27.6,,,,,,
90,속초,2021-01-02,-2.5,,16.8,,,,,,
90,속초,2021-01-03,-2.5,,19.4,,,,,,
90,속초,2021-01-04,-.9,,25.1,,,,,,
90,속초,2021-01-05,-3.2,,29.6,,,,,,
90,속초,2021-01-06,-5.9,,26.1,,,,,,
90,속초,2021-01-07,-12.1,0,23.4,,,,,,
90,속초,2021-01-08,-13,,24.1,,,,,,
90,속초,2021-01-09,-10.2,,28.4,,,,,,
90,속초,2021-01-10,-5.9,,31.6,,,,,,
90,속초,2021-01-11,-4.4,,32.4,,,,,,
90,속초,2021-01-12,-.8,,41.4,,,,,,
90,속초,2021-01-13,5.7,,41.4,,,,,,
90,속초,2021-01-14,2.8,,35.5,,,,,,
90,속초,2021-01-15,3.2,0,68.1,,,,,,
90,속초,2021-01-16,-.2,,35.3,,,,,,
90,속초,2021-01-17,-3.9,,29.6,,,,,,
90,속초,2021-01-18,-2.6,0,42.3,,,,,,
90,속초,2021-01-19,-6.1,,44.3,,,,,,
90,속초,2021-01-20,1,,40.1,,,,,,
90,속초,2021-01-21,6.4,0,65.4,,,,,,
90,속초,2021-01-22,5,,87.6,,,,,,
90,속초,2021-01-23,1.8,,91.5,,,,,,
90,속초,2021-01-24,3.5,,84.5,,,,,,
90,속초,2021-01-25,4.1,,91.8,,,,,,
90,속초,2021-01-26,5.3,0,77.6,,,,,,
90,속초,2021-01-27,3.3,,38.4,,,,,,
90,속초,2021-01-28,-.5,0,34.4,,,,,,
90,속초,2021-01-29,-6.4,,21.5,,,,,,
90,속초,2021-01-30,1.3,,37.1,,,,,,
90,속초,2021-01-31,2.8,0,50.9,,,,,,
90,속초,2021-02-01,7.7,0,46.9,,,,,,
90,속초,2021-02-02,-2.7,,20.3,,,,,,
90,속초,2021-02-03,-2.2,0,35.3,,,,,,
90,속초,2021-02-04,.1,0,28.9,,,,,,
90,속초,2021-02-05,5.1,,38.5,,,,,,
90,속초,2021-02-06,8.7,,47.8,,,,,,
90,속초,2021-02-07,3.9,0,79.9,,,,,,
90,속초,2021-02-08,-1.2,,33.8,,,,,,
90,속초,2021-02-09,1.7,,28.4,,,,,,
90,속초,2021-02-10,5.8,,42.9,,,,,,
90,속초,2021-02-11,6.1,,53.8,,,,,,
90,속초,2021-02-12,6.7,,61,,,,,,
90,속초,2021-02-13,4,,79.8,,,,,,
90,속초,2021-02-14,5.9,.1,85.8,,,,,,
90,속초,2021-02-15,3.1,.1,56.3,,,,,,
90,속초,2021-02-16,-2.9,,24.1,,,,,,
90,속초,2021-02-17,-7.5,,28.8,,,,,,
