지점,지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm)
90,속초,2013-01-01,-2,0,52.3,,,,,,
90,속초,2013-01-02,-7,0,28.1,,,,,,
90,속초,2013-01-03,-7.6,,30.4,,,,,,
90,속초,2013-01-04,-5.2,,36.3,,,,,,
90,속초,2013-01-05,-1.8,,37,,,,,,
90,속초,2013-01-06,-2,,40.1,,,,,,
90,속초,2013-01-07,-.9,,32.3,,,,,,
90,속초,2013-01-08,-.4,,33.4,,,,,,
90,속초,2013-01-09,-4,,28,,,,,,
90,속초,2013-01-10,-4.2,,29.8,,,,,,
90,속초,2013-01-11,.3,,46,,,,,,
90,속초,2013-01-12,3.5,,52.1,,,,,,
90,속초,2013-01-13,1.9,,55.9,,,,,,
90,속초,2013-01-14,2.5,2.5,45.5,,2.9,2358,2.9,2358,2.9
90,속초,2013-01-15,.7,.2,73.8,,.1,250,3,250,.1
90,속초,2013-01-16,1,2.3,63,,2.5,2155,2.5,2155,2.5
90,속초,2013-01-17,-2.6,32.9,94.3,,32.5,1600,33.5,1600,32.6
90,속초,2013-01-18,-.8,,50.3,,,,32,1,
90,속초,2013-01-19,1.5,,55.5,,,,19.5,1,
90,속초,2013-01-20,1.9,,74,,,,14,1,
90,속초,2013-01-21,1.3,17,97.9,,7.1,2200,15,2200,7.1
90,속초,2013-01-22,1.6,21.5,98.9,,1.6,1210,14,1,2
90,속초,2013-01-23,2.7,.4,84.5,,0,400,11.8,1,0
90,속초,2013-01-24,1.6,,50,,,,8,1,
90,속초,2013-01-25,-7,,28.3,,,,6.6,1,
90,속초,2013-01-26,-6.3,,36.4,,,,6.6,1,
90,속초,2013-01-27,-4.9,,45.3,,,,6.5,1,
90,속초,2013-01-28,.4,,46.1,,,,6.4,1,
90,속초,2013-01-29,4,,74.6,,,,6.3,1,
90,속초,2013-01-30,3.2,.5,96.8,,,,5.4,1,
90,속초,2013-01-31,4.8,,88.6,,,,4.2,1,
90,속초,2013-02-01,4.7,10,94,,,,,,
90,속초,2013-02-02,5.4,,36.8,,,,,,
90,속초,2013-02-03,1.2,.4,52.6,,,,,,
90,속초,2013-02-04,3.4,.1,66.9,,0,1,0,1,0
90,속초,2013-02-05,.7,.5,71.1,,.5,2358,.5,2358,.5
90,속초,2013-02-06,1.8,3.8,74.9,,3.8,700,4.3,700,3.8
90,속초,2013-02-07,-6.6,,31.5,,,,,,
90,속초,2013-02-08,-6.4,,38.5,,,,,,
90,속초,2013-02-09,-2.9,,35.1,,,,,,
90,속초,2013-02-10,-.6,,39.6,,,,,,
90,속초,2013-02-11,-3.1,,52.9,,,,,,
90,속초,2013-02-12,-.3,,46,,,,,,
90,속초,2013-02-13,1,,38.8,,,,,,
90,속초,2013-02-14,3.6,,48.9,,,,,,
90,속초,2013-02-15,1,.1,59.3,,,,,,
90,속초,2013-02-16,-1.9,,47.6,,,,,,
90,속초,2013-02-17,4.1,,48,,,,,,
90,속초,2013-02-18,2.1,1,66.1,,.2,2400,.2,2400,.2
