지점,지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm)
90,속초,2020-01-01,.8,,36.1,,,,,,
90,속초,2020-01-02,2.8,,38.6,,,,,,
90,속초,2020-01-03,4.7,,28.9,,,,,,
90,속초,2020-01-04,4,,30.1,,,,,,
90,속초,2020-01-05,3.1,,43.3,,,,,,
90,속초,2020-01-06,5.3,0,48.9,,,,,,
90,속초,2020-01-07,6.5,58.6,94.6,,,,,,
90,속초,2020-01-08,6.1,37.2,80.3,,,,,,
90,속초,2020-01-09,2.7,,51.8,,,,,,
90,속초,2020-01-10,3.5,,40.6,,,,,,
90,속초,2020-01-11,3.1,,40.3,,,,,,
90,속초,2020-01-12,2,,45.6,,,,,,
90,속초,2020-01-13,.4,,28.1,,,,,,
90,속초,2020-01-14,-.6,,32.8,,,,,,
90,속초,2020-01-15,.1,,30.5,,,,,,
90,속초,2020-01-16,.7,,33.4,,,,,,
90,속초,2020-01-17,2.8,12,57.8,,,,,,
90,속초,2020-01-18,2.4,15.3,78.9,,,,,,
90,속초,2020-01-19,3.3,,40.5,,,,,,
90,속초,2020-01-20,2.3,,35,,,,,,
90,속초,2020-01-21,1.2,,40.5,,,,,,
90,속초,2020-01-22,5.6,,33.6,,,,,,
90,속초,2020-01-23,5.9,,54.3,,,,,,
90,속초,2020-01-24,4,7,74.3,,,,,,
90,속초,2020-01-25,4.7,,79,,,,,,
90,속초,2020-01-26,5.1,6.9,74.1,,,,,,
90,속초,2020-01-27,6.4,,61.8,,,,,,
90,속초,2020-01-28,6.7,,66.4,,,,,,
90,속초,2020-01-29,5.8,.6,65,,,,,,
90,속초,2020-01-30,2.5,10.1,85.3,,,,,,
90,속초,2020-01-31,2.1,.4,81.1,,,,,,
90,속초,2020-02-01,4.4,,46,,,,,,
90,속초,2020-02-02,3.8,,43.6,,,,,,
90,속초,2020-02-03,1.7,,30.5,,,,,,
90,속초,2020-02-04,1.5,,34.6,,,,,,
90,속초,2020-02-05,-4,,26.3,,,,,,
90,속초,2020-02-06,-4,,58.5,,,,,,
90,속초,2020-02-07,1.1,,34,,,,,,
90,속초,2020-02-08,1.1,2.6,54.4,,,,,,
90,속초,2020-02-09,1.8,,42.6,,,,,,
90,속초,2020-02-10,4,,46.6,,,,,,
90,속초,2020-02-11,7,,50,,,,,,
90,속초,2020-02-12,9,2,65,,,,,,
90,속초,2020-02-13,10.3,0,61.5,,,,,,
90,속초,2020-02-14,9.9,,67.5,,,,,,
90,속초,2020-02-15,8.4,1.5,85.8,,,,,,
90,속초,2020-02-16,2.1,6.1,65.4,,,,,,
90,속초,2020-02-17,-2.8,,44.8,,,,,,
90,속초,2020-02-18,0,,38.5,,,,,,
90,속초,2020-02-19,3.5,,43,,,,,,
