지점,지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm)
90,속초,2015-01-01,-4.6,,31.6,,,,,,
90,속초,2015-01-02,-2.9,,30.4,,,,,,
90,속초,2015-01-03,1.1,,32.5,,,,,,
90,속초,2015-01-04,5.8,,50.8,,,,,,
90,속초,2015-01-05,7.3,,45.8,,,,,,
90,속초,2015-01-06,3.4,0,38.6,,,,,,
90,속초,2015-01-07,-2.2,,28.4,,,,,,
90,속초,2015-01-08,-.5,,30.9,,,,,,
90,속초,2015-01-09,1.5,,27,,,,,,
90,속초,2015-01-10,3.1,,35.1,,,,,,
90,속초,2015-01-11,1.8,0,62.4,,,,,,
90,속초,2015-01-12,-.2,,40.5,,,,,,
90,속초,2015-01-13,3.2,,33.8,,,,,,
90,속초,2015-01-14,4.8,,46.9,,,,,,
90,속초,2015-01-15,3.4,.5,86.6,,,,,,
90,속초,2015-01-16,2.9,,63.6,,,,,,
90,속초,2015-01-17,.8,,32,,,,,,
90,속초,2015-01-18,2.8,,38.1,,,,,,
90,속초,2015-01-19,3.4,0,46.6,,,,,,
90,속초,2015-01-20,1.3,,56,,,,,,
90,속초,2015-01-21,2.4,,75.3,,,,,,
90,속초,2015-01-22,2.2,4,88.1,,.5,1500,.5,1500,.5
90,속초,2015-01-23,2.8,,60.5,,,,,,
90,속초,2015-01-24,5.1,,46.1,,,,,,
90,속초,2015-01-25,3.5,1.5,75.6,,,,,,
90,속초,2015-01-26,4.5,1,88.9,,,,,,
90,속초,2015-01-27,.3,1.2,82.3,,2.2,1835,2.2,1835,2.2
90,속초,2015-01-28,-1.6,.5,77.9,,1,745,3,745,1
90,속초,2015-01-29,.1,,70.9,,,,,,
90,속초,2015-01-30,1.1,,39,,,,,,
90,속초,2015-01-31,-1.9,,56.5,,,,,,
90,속초,2015-02-01,-.4,,46.4,,,,,,
90,속초,2015-02-02,.2,,67.8,,,,,,
90,속초,2015-02-03,1.1,,81.4,,,,,,
90,속초,2015-02-04,1.3,.4,83.1,,,,,,
90,속초,2015-02-05,.9,7.5,82.3,,8.7,650,8.7,650,8.7
90,속초,2015-02-06,3.2,,49.3,,,,,,
90,속초,2015-02-07,4.4,,44.3,,,,,,
90,속초,2015-02-08,-4.9,,26.5,,,,,,
90,속초,2015-02-09,-3.1,,29.6,,,,,,
90,속초,2015-02-10,3.6,,43.1,,,,,,
90,속초,2015-02-11,4.4,,44.3,,,,,,
90,속초,2015-02-12,.2,,29,,,,,,
90,속초,2015-02-13,1.1,,26,,,,,,
90,속초,2015-02-14,6,,42.9,,,,,,
90,속초,2015-02-15,6.5,,72,,,,,,
90,속초,2015-02-16,4,16,97,,,,,,
90,속초,2015-02-17,2.3,4,95.3,,,,,,
90,속초,2015-02-18,2.9,1,78.3,,,,,,
90,속초,2015-02-19,1.2,2.2,94.6,,1.1,900,1.1,900,1.1
90,속초,2015-02-20,3.4,,80,,,,,,
90,속초,2015-02-21,3.5,1,89.6,,,,,,
90,속초,2015-02-22,6.3,,64.4,,,,,,
90,속초,2015-02-23,4.8,,37.3,,,,,,
90,속초,2015-02-24,3.2,,52.1,,,,,,
90,속초,2015-02-25,4,0,70,,,,,,
90,속초,2015-02-26,4.5,,43.4,,,,,,
90,속초,2015-02-27,-.6,,41.6,,,,,,
90,속초,2015-02-28,3.3,,51.6,,,,,,
90,속초,2015-03-01,5.3,,41.8,,,,,,
90,속초,2015-03-02,6.2,,36,,,,,,
90,속초,2015-03-03,5.4,,58.1,,,,,,
90,속초,2015-03-04,.4,,34.8,,,,,,
90,속초,2015-03-05,0,,46.4,,,,,,
90,속초,2015-03-06,1.6,,71.6,,,,,,
90,속초,2015-03-07,4.3,,66.5,,,,,,
90,속초,2015-03-08,5.4,,70.4,,,,,,
90,속초,2015-03-09,5.1,,47.9,,,,,,
90,속초,2015-03-10,-1.1,,24.3,,,,,,
90,속초,2015-03-11,2.2,0,31,,,,,,
90,속초,2015-03-12,4,,28.3,,,,,,
90,속초,2015-03-13,4.2,,51.1,,,,,,
90,속초,2015-03-14,3.6,,58.4,,,,,,
90,속초,2015-03-15,7.2,,54.4,,,,,,
90,속초,2015-03-16,7,,71.9,,,,,,
90,속초,2015-03-17,11,,53.6,,,,,,
90,속초,2015-03-18,5.1,2.5,88.5,,,,,,
90,속초,2015-03-19,6.2,,79,,,,,,
90,속초,2015-03-20,7.5,,85.3,,,,,,
90,속초,2015-03-21,10,,69.9,,,,,,
90,속초,2015-03-22,10.7,,31.1,,,,,,
90,속초,2015-03-23,5.2,,33.3,,,,,,
90,속초,2015-03-24,3.8,,47.8,,,,,,
90,속초,2015-03-25,4.1,,70.6,,,,,,
90,속초,2015-03-26,12.2,,32.1,,,,,,
90,속초,2015-03-27,15.8,,26.3,,,,,,
90,속초,2015-03-28,15.1,,22.1,,,,,,
90,속초,2015-03-29,11.2,,59.3,,,,,,
90,속초,2015-03-30,11.4,,69.1,,,,,,
90,속초,2015-03-31,14.4,5.5,64.3,,,,,,
90,속초,2015-04-01,6.7,11,96.5,,,,,,
90,속초,2015-04-02,6.3,13,97.8,,,,,,
90,속초,2015-04-03,7.5,6.5,91.3,,,,,,
90,속초,2015-04-04,6.7,,83.6,,,,,,
90,속초,2015-04-05,6.1,.1,86.8,,,,,,
90,속초,2015-04-06,6.6,0,92.5,,,,,,
90,속초,2015-04-07,3.1,1.5,87,,,,,,
90,속초,2015-04-08,4.5,2,96.5,,,,,,
90,속초,2015-04-09,6,,90.6,,,,,,
90,속초,2015-04-10,9,,65.8,,,,,,
90,속초,2015-04-11,6.8,,91.3,,,,,,
90,속초,2015-04-12,6.3,0,100,,,,,,
90,속초,2015-04-13,6.1,.1,98.4,,,,,,
90,속초,2015-04-14,6,10.5,94,,,,,,
90,속초,2015-04-15,13.6,0,57.5,,,,,,
90,속초,2015-04-16,11.2,1,65.1,,,,,,
90,속초,2015-04-17,15.1,,23.8,,,,,,
90,속초,2015-04-18,16.1,,29.6,,,,,,
90,속초,2015-04-19,10.7,7.5,74.3,,,,,,
90,속초,2015-04-20,8.1,21,95.9,,,,,,
90,속초,2015-04-21,14.9,,47.9,,,,,,
90,속초,2015-04-22,15.4,,36.5,,,,,,
90,속초,2015-04-23,18.9,,25.1,,,,,,
90,속초,2015-04-24,15.8,,31.4,,,,,,
90,속초,2015-04-25,16.7,,34.9,,,,,,
90,속초,2015-04-26,25,,27.3,,,,,,
90,속초,2015-04-27,25.1,,26.1,,,,,,
90,속초,2015-04-28,17.6,,42.1,,,,,,
90,속초,2015-04-29,9.4,,89.5,,,,,,
90,속초,2015-04-30,10.6,,95.6,,,,,,
90,속초,2015-05-01,14,,,,,,,,
90,속초,2015-05-02,16,1,84.5,,,,,,
90,속초,2015-05-03,16.2,3,99.4,,,,,,
90,속초,2015-05-04,15.4,,67.4,,,,,,
90,속초,2015-05-05,19.1,,25.4,,,,,,
90,속초,2015-05-06,17.8,,40.4,,,,,,
90,속초,2015-05-07,13.3,,68.6,,,,,,
90,속초,2015-05-08,16.6,,52.1,,,,,,
90,속초,2015-05-09,13.4,,73.8,,,,,,
90,속초,2015-05-10,11,,88.5,,,,,,
90,속초,2015-05-11,11.6,3,91.4,,,,,,
90,속초,2015-05-12,16.3,1.5,60.5,,,,,,
90,속초,2015-05-13,22.9,,34.3,,,,,,
90,속초,2015-05-14,18.5,,53.4,,,,,,
90,속초,2015-05-15,11.2,0,91.6,,,,,,
90,속초,2015-05-16,18.5,.1,53.1,,,,,,
90,속초,2015-05-17,21.1,,28.8,,,,,,
90,속초,2015-05-18,20.9,,34,,,,,,
90,속초,2015-05-19,19.2,.5,54.1,,,,,,
90,속초,2015-05-20,16.3,,50.4,,,,,,
90,속초,2015-05-21,24,,31.1,,,,,,
90,속초,2015-05-22,26.3,,26.4,,,,,,
