지점,지점명,일시,평균기온(°C),일강수량(mm),평균 상대습도(%),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm)
90,속초,2014-01-01,6.6,,31.3,,,,,,
90,속초,2014-01-02,4,,31.9,,,,,,
90,속초,2014-01-03,6.6,,40,,,,,,
90,속초,2014-01-04,1.2,7.4,87.4,,6,1850,6,1850,6
90,속초,2014-01-05,.4,0,90,,,,6,1,
90,속초,2014-01-06,.5,,64.8,,,,2.8,1,
90,속초,2014-01-07,4.5,,55.8,,,,2.2,1,
90,속초,2014-01-08,4.1,,59.9,,,,,,
90,속초,2014-01-09,-3.7,,29.4,,,,,,
90,속초,2014-01-10,-2,,27.6,,,,,,
90,속초,2014-01-11,1.5,,31.6,,,,,,
90,속초,2014-01-12,1.2,,41.4,,,,,,
90,속초,2014-01-13,-3.2,,32.9,,,,,,
90,속초,2014-01-14,-3.3,,46.3,,,,,,
90,속초,2014-01-15,-.7,,37.8,,,,,,
90,속초,2014-01-16,1.4,,52,,,,,,
90,속초,2014-01-17,.7,,59.6,,,,,,
90,속초,2014-01-18,-.4,,43.5,,,,,,
90,속초,2014-01-19,-.6,,39.9,,,,,,
90,속초,2014-01-20,1.3,.1,67.5,,0,,0,,0
90,속초,2014-01-21,-2.9,14.1,82.8,,13.3,1310,13.3,1310,13.3
90,속초,2014-01-22,-1.1,,52,,,,12,1,
90,속초,2014-01-23,1.6,,53.8,,,,5.9,1,
90,속초,2014-01-24,6.9,,54.8,,,,2.9,1,
90,속초,2014-01-25,4.9,7.5,86.8,,,,.7,1,
90,속초,2014-01-26,.3,.2,69.1,,.2,850,.2,850,.2
90,속초,2014-01-27,4.4,,33.4,,,,,,
90,속초,2014-01-28,4.3,,56.6,,,,,,
90,속초,2014-01-29,7.4,,25.3,,,,,,
90,속초,2014-01-30,8.6,,44.1,,,,,,
90,속초,2014-01-31,3.6,,32,,,,,,
90,속초,2014-02-01,3.4,16.5,73.3,,2.5,1950,2.5,1950,2.5
90,속초,2014-02-02,7.4,2,74.8,,,,2.2,1,
90,속초,2014-02-03,1.6,,45,,,,,,
90,속초,2014-02-04,-4.2,,29.3,,,,,,
90,속초,2014-02-05,-4.1,,46,,,,,,
90,속초,2014-02-06,-1.1,.1,57,,,,,,
90,속초,2014-02-07,0,12.4,86.4,,11.1,2230,11.1,2230,11.1
90,속초,2014-02-08,-.5,19.8,90,,15.5,2400,21,2400,16.7
90,속초,2014-02-09,-1.5,44.6,97.4,,41.7,2400,58,2400,41.7
90,속초,2014-02-10,-2.5,29.7,94.8,,27.8,2400,79.5,2400,27.8
90,속초,2014-02-11,-1.8,5,97,,8.3,2055,83.5,1850,8.3
90,속초,2014-02-12,-1.4,,81.6,,,,81.5,1,
90,속초,2014-02-13,-.5,22.6,93.4,,20.2,1255,64,1255,20.6
90,속초,2014-02-14,0,5.4,95.8,,4.8,1155,54.8,1155,4.8
90,속초,2014-02-15,.5,,80.6,,,,47,1,
90,속초,2014-02-16,3.1,,67.9,,,,40,1,
90,속초,2014-02-17,1.5,2.5,82,,2.6,2400,33.8,2400,3
90,속초,2014-02-18,-.9,6.2,91.6,,7,2400,38.7,2400,7
90,속초,2014-02-19,.6,.2,83.4,,.2,750,38.7,1,.2
90,속초,2014-02-20,.9,1.2,85.6,,,,27.5,1,
90,속초,2014-02-21,.4,,86,,,,27.5,1,
90,속초,2014-02-22,.4,0,84.1,,,,24.5,1,
90,속초,2014-02-23,1.5,,84.8,,,,21.5,1,
90,속초,2014-02-24,3.7,,79.8,,,,19,1,
90,속초,2014-02-25,6.9,,61.3,,,,14.5,1,
90,속초,2014-02-26,3.3,,86.3,,,,9.5,1,
90,속초,2014-02-27,7.4,,69.9,,,,6.5,1,
90,속초,2014-02-28,5,0,73.3,,,,3.5,1,
